SNAP vs ECD  preset=paper  ECD N_d=5  SNAP N_d=[1, 2]  trials=50  maxiter=200  workers=7
reusing ECD from paper_result/out/fig5.json  (n=50)
=== SNAP-VQE  N_d=1  params=18  trials=50  maxiter=200  workers=7 ===
[29/100] snap t12  gibbs  P*=0.9156  E=-11.116  bits=0110000  nit=67
[30/100] snap t14  gibbs  P*=0.8196  E=-2.409  bits=0110000  nit=57
[31/100] snap t13  energy  P*=0.0001  E=-4.893  bits=0010110  nit=97
[32/100] snap t18  gibbs  P*=0.0071  E=24.477  bits=0100101  nit=1
[33/100] snap t17  gibbs  P*=0.8900  E=-9.073  bits=0110000  nit=51
[34/100] snap t15  energy  P*=0.0174  E=-5.227  bits=0110100  nit=56
[35/100] snap t16  energy  P*=0.0000  E=-3.685  bits=0010110  nit=59
[36/100] snap t14  energy  P*=0.0000  E=-3.521  bits=0010110  nit=79
[37/100] snap t17  energy  P*=0.9110  E=-11.486  bits=0110000  nit=57
[38/100] snap t19  gibbs  P*=0.6168  E=-3.064  bits=0110000  nit=21
[39/100] snap t18  energy  P*=0.0000  E=-4.618  bits=0010110  nit=59
[40/100] snap t20  gibbs  P*=0.8015  E=-9.719  bits=0110000  nit=42
[41/100] snap t19  energy  P*=0.4223  E=-9.834  bits=0110000  nit=46
[42/100] snap t21  gibbs  P*=0.8633  E=-3.155  bits=0110000  nit=51
[43/100] snap t23  gibbs  P*=0.8916  E=-6.773  bits=0110000  nit=44
[44/100] snap t20  energy  P*=0.4271  E=-9.815  bits=0110000  nit=71
[45/100] snap t24  gibbs  P*=0.3801  E=12.290  bits=0110000  nit=6
[46/100] snap t21  energy  P*=0.0000  E=-4.616  bits=0010110  nit=73
[47/100] snap t22  gibbs  P*=0.8227  E=-3.578  bits=0110000  nit=93
[48/100] snap t22  energy  P*=0.0000  E=-2.086  bits=0100001  nit=62
[49/100] snap t23  energy  P*=0.0007  E=-3.231  bits=0010110  nit=55
[50/100] snap t24  energy  P*=0.0000  E=-3.044  bits=0100110  nit=47
[51/100] snap t27  gibbs  P*=0.4920  E=3.287  bits=0110000  nit=6
[52/100] snap t25  gibbs  P*=0.8466  E=-7.297  bits=0110000  nit=68
[53/100] snap t26  energy  P*=0.6627  E=-9.965  bits=0110000  nit=38
[54/100] snap t25  energy  P*=0.9127  E=-11.255  bits=0110000  nit=66
[55/100] snap t26  gibbs  P*=0.9857  E=-11.224  bits=0110000  nit=57
[56/100] snap t29  gibbs  P*=0.6867  E=-2.220  bits=0110000  nit=6
[57/100] snap t30  gibbs  P*=0.0312  E=31.605  bits=0110011  nit=1
[58/100] snap t27  energy  P*=0.4485  E=-9.767  bits=0110000  nit=60
[59/100] snap t28  gibbs  P*=0.8668  E=-4.049  bits=0110000  nit=88
[60/100] snap t30  energy  P*=0.0145  E=-6.177  bits=0101100  nit=65
[61/100] snap t32  gibbs  P*=0.5303  E=2.857  bits=0110000  nit=11
[62/100] snap t28  energy  P*=0.8213  E=-10.933  bits=0110000  nit=109
[63/100] snap t31  energy  P*=0.9127  E=-11.255  bits=0110000  nit=58
[64/100] snap t31  gibbs  P*=0.9152  E=-11.155  bits=0110000  nit=76
[65/100] snap t29  energy  P*=0.7176  E=-10.948  bits=0110000  nit=73
[66/100] snap t34  gibbs  P*=0.2838  E=10.224  bits=0110000  nit=1
[67/100] snap t35  gibbs  P*=0.8855  E=-8.764  bits=0110000  nit=66
[68/100] snap t33  energy  P*=0.0000  E=-4.290  bits=0010001  nit=84
[69/100] snap t32  energy  P*=0.0000  E=-4.290  bits=0010001  nit=70
