Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1646 dE=0.1530  readout_only.TVD=0.1084 dE=0.0959  oracle_binomial.TVD=0.0275 dE=0.0065  gdr_param.TVD=0.0313 dE=0.0067  gdr_select.TVD=0.0313 dE=0.0067

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs
------------------------------------------------------------------------------------------------------------------
snap   optimized  comprehensive             0.030 readout_realistic  zne_idle             0.2342   0.2180   0.1424
snap   optimized  comprehensive             0.030 readout_realistic  readout_then_zne     0.1990   0.1760   0.1040
snap   optimized  comprehensive             0.100 readout_realistic  raw                  0.6559   0.8465   0.5321
snap   optimized  comprehensive             0.100 readout_realistic  readout_only         0.6518   0.8513   0.5240
snap   optimized  comprehensive             0.100 readout_realistic  oracle_binomial      0.2939   0.2104   0.1751
snap   optimized  comprehensive             0.100 readout_realistic  gdr_param            0.2880   0.2412   0.0717
snap   optimized  comprehensive             0.100 readout_realistic  gdr_damped           0.3365   0.3632   0.1622
snap   optimized  comprehensive             0.100 readout_realistic  gdr_mid              0.4224   0.5005   0.2022
snap   optimized  comprehensive             0.100 readout_realistic  gdr_residual         0.2317   0.1967   0.0683
snap   optimized  comprehensive             0.100 readout_realistic  gdr_afterburn        0.2317   0.1967   0.0683
snap   optimized  comprehensive             0.100 readout_realistic  gdr_blend            0.2880   0.2412   0.0717
snap   optimized  comprehensive             0.100 readout_realistic  gdr_select           0.2880   0.2412   0.0717
snap   optimized  comprehensive             0.100 readout_realistic  gdr_full             0.9962   1.4939   0.6663
snap   optimized  comprehensive             0.100 readout_realistic  scalar_cdr             —      0.6814     —   
snap   optimized  comprehensive             0.100 readout_realistic  zne_idle             0.5430   0.7595   0.4428
snap   optimized  comprehensive             0.100 readout_realistic  readout_then_zne     0.5405   0.7668   0.4332
